"","country","year","sex","age","cases"
"1","AD",2000,"m","0-14",0
"2","AD",2000,"m","15-24",0
"3","AD",2000,"m","25-34",1
"4","AD",2000,"m","35-44",0
"5","AD",2000,"m","45-54",0
"6","AD",2000,"m","55-64",0
"7","AD",2000,"m","65+",0
"8","AE",2000,"m","0-14",2
"9","AE",2000,"m","15-24",4
"10","AE",2000,"m","25-34",4
"11","AE",2000,"m","35-44",6
"12","AE",2000,"m","45-54",5
"13","AE",2000,"m","55-64",12
"14","AE",2000,"m","65+",10
"15","AE",2000,"f","0-14",3
"16","AE",2000,"f","15-24",16
"17","AE",2000,"f","25-34",1
"18","AE",2000,"f","35-44",3
"19","AE",2000,"f","45-54",0
"20","AE",2000,"f","55-64",0
"21","AE",2000,"f","65+",4
"22","AF",2000,"m","0-14",52
"23","AF",2000,"m","15-24",228
"24","AF",2000,"m","25-34",183
"25","AF",2000,"m","35-44",149
"26","AF",2000,"m","45-54",129
"27","AF",2000,"m","55-64",94
"28","AF",2000,"m","65+",80
"29","AF",2000,"f","0-14",93
"30","AF",2000,"f","15-24",414
"31","AF",2000,"f","25-34",565
"32","AF",2000,"f","35-44",339
"33","AF",2000,"f","45-54",205
"34","AF",2000,"f","55-64",99
"35","AF",2000,"f","65+",36
"36","AG",2000,"m","0-14",0
"37","AG",2000,"m","15-24",0
"38","AG",2000,"m","25-34",0
"39","AG",2000,"m","35-44",0
"40","AG",2000,"m","45-54",0
"41","AG",2000,"m","55-64",0
"42","AG",2000,"m","65+",1
"43","AG",2000,"f","0-14",1
"44","AG",2000,"f","15-24",1
"45","AG",2000,"f","25-34",1
"46","AG",2000,"f","35-44",0
"47","AG",2000,"f","45-54",0
"48","AG",2000,"f","55-64",0
"49","AG",2000,"f","65+",0
"50","AL",2000,"m","0-14",2
"51","AL",2000,"m","15-24",19
"52","AL",2000,"m","25-34",21
"53","AL",2000,"m","35-44",14
"54","AL",2000,"m","45-54",24
"55","AL",2000,"m","55-64",19
"56","AL",2000,"m","65+",16
"57","AL",2000,"f","0-14",3
"58","AL",2000,"f","15-24",11
"59","AL",2000,"f","25-34",10
"60","AL",2000,"f","35-44",8
"61","AL",2000,"f","45-54",8
"62","AL",2000,"f","55-64",5
"63","AL",2000,"f","65+",11
"64","AM",2000,"m","0-14",2
"65","AM",2000,"m","15-24",152
"66","AM",2000,"m","25-34",130
"67","AM",2000,"m","35-44",131
"68","AM",2000,"m","45-54",63
"69","AM",2000,"m","55-64",26
"70","AM",2000,"m","65+",21
"71","AM",2000,"f","0-14",1
"72","AM",2000,"f","15-24",24
"73","AM",2000,"f","25-34",27
"74","AM",2000,"f","35-44",24
"75","AM",2000,"f","45-54",8
"76","AM",2000,"f","55-64",8
"77","AM",2000,"f","65+",4
"78","AN",2000,"m","0-14",0
"79","AN",2000,"m","15-24",0
"80","AN",2000,"m","25-34",1
"81","AN",2000,"m","35-44",2
"82","AN",2000,"m","45-54",0
"83","AN",2000,"m","55-64",0
"84","AN",2000,"m","65+",0
"85","AN",2000,"f","0-14",0
"86","AN",2000,"f","15-24",0
"87","AN",2000,"f","25-34",1
"88","AN",2000,"f","35-44",0
"89","AN",2000,"f","45-54",0
"90","AN",2000,"f","55-64",1
"91","AN",2000,"f","65+",0
"92","AO",2000,"m","0-14",186
"93","AO",2000,"m","15-24",999
"94","AO",2000,"m","25-34",1003
"95","AO",2000,"m","35-44",912
"96","AO",2000,"m","45-54",482
"97","AO",2000,"m","55-64",312
"98","AO",2000,"m","65+",194
"99","AO",2000,"f","0-14",247
"100","AO",2000,"f","15-24",1142
"101","AO",2000,"f","25-34",1091
"102","AO",2000,"f","35-44",844
"103","AO",2000,"f","45-54",417
"104","AO",2000,"f","55-64",200
"105","AO",2000,"f","65+",120
"106","AR",2000,"m","0-14",97
"107","AR",2000,"m","15-24",278
"108","AR",2000,"m","25-34",594
"109","AR",2000,"m","35-44",402
"110","AR",2000,"m","45-54",419
"111","AR",2000,"m","55-64",368
"112","AR",2000,"m","65+",330
"113","AR",2000,"f","0-14",121
"114","AR",2000,"f","15-24",544
"115","AR",2000,"f","25-34",479
"116","AR",2000,"f","35-44",262
"117","AR",2000,"f","45-54",230
"118","AR",2000,"f","55-64",179
"119","AR",2000,"f","65+",216
"120","AS",2000,"m","45-54",1
"121","AS",2000,"m","55-64",1
"122","AS",2000,"f","45-54",1
"123","AT",2000,"m","0-14",1
"124","AT",2000,"m","15-24",17
"125","AT",2000,"m","25-34",30
"126","AT",2000,"m","35-44",59
"127","AT",2000,"m","45-54",42
"128","AT",2000,"m","55-64",23
